CoinName,PreMinedValue,Name,Algorithm,FullyPremined,Url,ImageUrl,Id,ProofType,Sponsored,SortOrder,TotalCoinSupply,FullName,TotalCoinsFreeFloat,Symbol,source,timestamp_api_call
Armory Coin,N/A,ARM,Scrypt,0,/coins/arm/overview,/media/351545/arm.png,28654,PoW/PoS,False,768,1990000000,Armory Coin (ARM),N/A,ARM,cryptocompare,2017-12-26 13:58:56.420913
Aeron,N/A,ARN,N/A,0,/coins/arn/overview,/media/12318261/arn.png,335127,N/A,False,1666,100000000,Aeron (ARN),N/A,ARN,cryptocompare,2017-12-26 13:58:56.420913
ARNA Panacea,N/A,ARNA,N/A,0,/coins/arna/overview,/media/12318005/arna.png,303888,N/A,False,1576,1000000000,ARNA Panacea (ARNA),N/A,ARNA*,cryptocompare,2017-12-26 13:58:56.420913
ArpaCoin,N/A,ARPA,SHA256D,0,/coins/arpa/overview,/media/1382966/arpa.png,60618,PoW/PoS,False,1162,N/A,ArpaCoin (ARPA),N/A,ARPA,cryptocompare,2017-12-26 13:58:56.420913
Maecenas,N/A,ART,N/A,0,/coins/art/overview,/media/12318097/art.png,311558,N/A,False,1605,100000000,Maecenas (ART),N/A,ART,cryptocompare,2017-12-26 13:58:56.420913
Allsafe,N/A,ASAFE2,Scrypt,0,/coins/asafe2/overview,/media/1382096/allsafe.jpg,38367,PoS,False,1007,15000000,Allsafe (ASAFE2),N/A,ASAFE2,cryptocompare,2017-12-26 13:58:56.420913
Ascension Coin,N/A,ASN,QuBit,0,/coins/asn/overview,/media/20192/asn.png,5356,PoW/PoS,False,324,0,Ascension Coin (ASN),N/A,ASN,cryptocompare,2017-12-26 13:58:56.420913
AirSwap,N/A,AST,N/A,0,/coins/ast/overview,/media/12318279/ast.png,337162,N/A,False,1673,500000000,AirSwap (AST),N/A,AST,cryptocompare,2017-12-26 13:58:56.420913
Astral,N/A,AST*,X13,0,/coins/aststar/overview,/media/1382170/ast.png,38959,PoW/PoS,False,1011,37875500,Astral (AST*),N/A,AST*,cryptocompare,2017-12-26 13:58:56.420913
Astronaut,N/A,ASTRO,N/A,0,/coins/astro/overview,/media/14913641/astro.png,387875,N/A,False,1854,6999999,Astronaut (ASTRO),N/A,ASTRO,cryptocompare,2017-12-26 13:58:56.420913
