Points,is_closed,likes,link,name,socialsource,source,symbol,symbol_id,talking_about,timestamp_api_call
16122,False,15892.0,https://www.facebook.com/Avesta.io/,Avesta,Facebook,cryptocompare,AVE,362627,23.0,2017-12-30 17:56:21.161699
0,,,,,Facebook,cryptocompare,AVT,138642,,2017-12-30 17:55:43.250626
0,,,,,Facebook,cryptocompare,AXIOM,8693,,2017-12-30 17:56:52.076048
0,,,,,Facebook,cryptocompare,AXR,4334,,2017-12-30 17:56:32.092349
21565,False,21105.0,https://www.facebook.com/AiXChange/,AiX,Facebook,cryptocompare,AXT,372029,46.0,2017-12-30 17:56:23.590546
0,,,,,Facebook,cryptocompare,B2B,517795,,2017-12-30 17:56:39.624954
0,,,,,Facebook,cryptocompare,B3,28333,,2017-12-30 17:56:07.844632
0,,,,,Facebook,cryptocompare,B@,56078,,2017-12-30 17:56:46.443671
32,False,32.0,https://www.facebook.com/Bitalphacoin-1560517777602162/,Bitalphacoin,Facebook,cryptocompare,BAC,20348,0.0,2017-12-30 17:55:50.290198
132,False,112.0,https://www.facebook.com/LakeBanker/,LakeBanker,Facebook,cryptocompare,BAC*,329507,2.0,2017-12-30 17:56:14.557908
0,,,,,Facebook,cryptocompare,BAN,43247,,2017-12-30 17:56:30.017149
25760,False,620.0,https://www.facebook.com/TBISICO/,TBIS Inc.,Facebook,cryptocompare,BAR,354771,2514.0,2017-12-30 17:56:19.432822
599,False,559.0,https://www.facebook.com/BitAsean/,BitAsean,Facebook,cryptocompare,BAS,586638,4.0,2017-12-30 17:56:46.856933
0,,,,,Facebook,cryptocompare,BASH,33129,,2017-12-30 17:56:17.631311
0,,,,,Facebook,cryptocompare,BAT,107672,,2017-12-30 17:55:40.879397
0,,,,,Facebook,cryptocompare,BAY,5300,,2017-12-30 17:56:42.643911
0,,,,,Facebook,cryptocompare,BBCC,29554,,2017-12-30 17:56:10.198121
0,,,,,Facebook,cryptocompare,BBR,5343,,2017-12-30 17:56:43.866964
1277,False,1127.0,https://www.facebook.com/Bitboost-1819931498257673/,Bitboost,Facebook,cryptocompare,BBT,398648,15.0,2017-12-30 17:56:26.730705
28070,False,27710.0,https://www.facebook.com/brickblock.io/,Brickblock.io,Facebook,cryptocompare,BBT*,198474,36.0,2017-12-30 17:55:48.834762
7526,False,6996.0,https://www.facebook.com/blockchaincapital/,Blockchain Capital,Facebook,cryptocompare,BCAP,72955,53.0,2017-12-30 17:56:50.700838
220403,False,129803.0,https://www.facebook.com/bitconnectcoin/,Bitconnect Coin,Facebook,cryptocompare,BCCOIN,35165,9060.0,2017-12-30 17:56:19.616452
0,,,,,Facebook,cryptocompare,BCD,409492,,2017-12-30 17:56:26.592317
