Id,Comments,Followers,PageViews,Points,Posts,socialsource,source,symbol,symbol_id,timestamp_api_call
224,,3.0,408,100.0,1.0,CryptoCompare,cryptocompare,EXB,25925,2017-12-28 01:43:24.412213
225,,51.0,5709,1525.0,10.0,CryptoCompare,cryptocompare,EXCL,4442,2017-12-28 01:43:25.004251
226,,51.0,5719,1525.0,10.0,CryptoCompare,cryptocompare,EXCL,4442,2017-12-28 08:23:42.695906
227,,3.0,718,100.0,1.0,CryptoCompare,cryptocompare,EXIT,22180,2017-12-28 08:23:43.284575
228,1.0,6.0,864,260.0,4.0,CryptoCompare,cryptocompare,EXN,370961,2017-12-28 08:23:43.841938
229,1.0,6.0,861,260.0,4.0,CryptoCompare,cryptocompare,EXN,370961,2017-12-28 01:43:26.436646
230,43.0,410.0,42597,12080.0,56.0,CryptoCompare,cryptocompare,EXP,12194,2017-12-28 08:23:44.730774
231,43.0,410.0,42501,12080.0,56.0,CryptoCompare,cryptocompare,EXP,12194,2017-12-28 01:43:27.090034
232,43.0,410.0,42468,12080.0,56.0,CryptoCompare,cryptocompare,EXP,12194,2017-12-28 00:02:44.840133
233,43.0,410.0,42443,12080.0,56.0,CryptoCompare,cryptocompare,EXP,12194,2017-12-27 21:23:05.261590
