Id,Points,is_closed,likes,link,name,socialsource,source,symbol,symbol_id,talking_about,timestamp_api_call
250,0,,,,,Facebook,cryptocompare,MUDRA,25820,,2017-12-28 01:46:01.951695
251,1744,False,1504.0,https://www.facebook.com/MonetaryUnit/,MonetaryUnit,Facebook,cryptocompare,MUE,22325,24.0,2017-12-28 01:46:02.565622
252,0,,,,,Facebook,cryptocompare,MUSIC,53950,,2017-12-28 01:46:03.661185
253,0,,,,,Facebook,cryptocompare,MWC,6107,,2017-12-28 01:46:04.518010
254,1328,False,568.0,https://www.facebook.com/martexcoin/,MarteXcoin,Facebook,cryptocompare,MXT,53944,76.0,2017-12-28 01:46:05.878868
255,0,,,,,Facebook,cryptocompare,MYB,179345,,2017-12-28 01:46:06.622654
256,0,,,,,Facebook,cryptocompare,MYST,136190,,2017-12-27 21:23:27.732146
257,0,,,,,Facebook,cryptocompare,MZC,4568,,2017-12-28 01:46:07.924143
258,0,,,,,Facebook,cryptocompare,NAN,4569,,2017-12-28 01:46:08.343675
259,0,,,,,Facebook,cryptocompare,NAS2,16717,,2017-12-28 01:46:09.015330
260,112,False,112.0,https://www.facebook.com/Nautiluscoin-301698040006670/,Nautiluscoin,Facebook,cryptocompare,NAUT,4570,0.0,2017-12-28 01:46:09.716060
261,10645,False,4495.0,https://www.facebook.com/NAVCoin/,NAV Coin,Facebook,cryptocompare,NAV,4571,615.0,2017-12-28 01:46:10.696654
