Comments,Followers,PageViews,Points,Posts,socialsource,source,symbol,symbol_id,timestamp_api_call
1.0,5,1136,160,1.0,CryptoCompare,cryptocompare,KARM,16127,2018-01-01 15:09:32.912624
8,124,8639,3530,14,CryptoCompare,cryptocompare,LKK,130939,2018-01-01 15:12:54.027266
8.0,124,8639,3530,14.0,CryptoCompare,cryptocompare,LKK,130939,2018-01-01 15:09:31.341981
,3,572,75,,CryptoCompare,cryptocompare,LYB,13281,2018-01-01 15:09:31.888121
2,18,1827,620,6,CryptoCompare,cryptocompare,MAD,131079,2018-01-01 15:12:54.485286
2.0,18,1827,620,6.0,CryptoCompare,cryptocompare,MAD,131079,2018-01-01 15:09:31.779009
,7,821,175,,CryptoCompare,cryptocompare,MAPC,12223,2018-01-01 15:09:30.825849
1.0,5,989,160,1.0,CryptoCompare,cryptocompare,MAT*,108094,2018-01-01 15:09:30.936619
1,5,989,160,1,CryptoCompare,cryptocompare,MAT*,108094,2018-01-01 15:12:53.514118
123,192,71005,7705,67,CryptoCompare,cryptocompare,MCAP,131154,2018-01-01 15:12:54.465847
123.0,192,71005,7705,67.0,CryptoCompare,cryptocompare,MCAP,131154,2018-01-01 15:09:31.539294
230.0,882,122906,27950,144.0,CryptoCompare,cryptocompare,MCO,166548,2018-01-01 15:09:33.283469
230,882,122906,27950,144,CryptoCompare,cryptocompare,MCO,166548,2018-01-01 15:12:56.159788
,25,3530,675,2.0,CryptoCompare,cryptocompare,MI,12225,2018-01-01 15:09:31.213558
,25,3530,675,2,CryptoCompare,cryptocompare,MI,12225,2018-01-01 15:12:53.408606
,9,877,250,1,CryptoCompare,cryptocompare,MND,15888,2018-01-01 15:12:55.707303
,9,877,250,1.0,CryptoCompare,cryptocompare,MND,15888,2018-01-01 15:09:32.836669
9,208,12522,5740,18,CryptoCompare,cryptocompare,MYST,136190,2018-01-01 15:12:54.588597
9.0,208,12522,5740,18.0,CryptoCompare,cryptocompare,MYST,136190,2018-01-01 15:09:32.342823
,2,742,50,,CryptoCompare,cryptocompare,NAS2,16717,2018-01-01 15:09:32.900590
,6,547,150,,CryptoCompare,cryptocompare,NEF,112405,2018-01-01 15:09:30.446420
24,98,9144,2890,8,CryptoCompare,cryptocompare,NET*,176669,2018-01-01 15:12:56.757000
24.0,98,9144,2890,8.0,CryptoCompare,cryptocompare,NET*,176669,2018-01-01 15:09:33.618290
21,26,2486,1035,7,CryptoCompare,cryptocompare,NEU*,13044,2018-01-01 15:12:54.087022
