closed_issues,closed_pull_issues,closed_total_issues,created_at,fork,forks,language,last_push,last_update,open_issues,open_pull_issues,open_total_issues,parent,size,socialsource,source,stars,subscribers,symbol,symbol_id,timestamp_api_call,url
0,0,0,1391489213,False,7.0,TypeScript,1392885589,1493682786,2,0,2,"{u'Url': u'', u'Name': u'', u'InternalId': -1}",3712,CodeRepository,cryptocompare,2.0,2.0,KARM,16127,2018-01-01 15:09:32.876848,https://github.com/karmacoin-team/karmacoin
0,2,2,1422654350,false,2.0,C++,1466185964,1484515438,0,0,0,"{u'Url': u'', u'Name': u'', u'InternalId': -1}",5950,CodeRepository,cryptocompare,1.0,3.0,LYB,13281,2018-01-01 15:12:54.071394,https://github.com/Lyrabar/Lyrabar
0,2,2,1422654350,False,2.0,C++,1466185964,1484515438,0,0,0,"{u'Url': u'', u'Name': u'', u'InternalId': -1}",5950,CodeRepository,cryptocompare,1.0,3.0,LYB,13281,2018-01-01 15:09:31.693113,https://github.com/Lyrabar/Lyrabar
0,0,0,1439728382,False,0.0,C++,1439764940,1439728557,0,0,0,"{u'Url': u'', u'Name': u'', u'InternalId': -1}",4768,CodeRepository,cryptocompare,0.0,2.0,MAD,131079,2018-01-01 15:09:31.584823,https://github.com/playpossat/blocksattime
0,0,0,1439728382,false,0.0,C++,1439764940,1439728557,0,0,0,"{u'Url': u'', u'Name': u'', u'InternalId': -1}",4768,CodeRepository,cryptocompare,0.0,2.0,MAD,131079,2018-01-01 15:12:54.023962,https://github.com/playpossat/blocksattime
0,0,0,1441573500,false,1.0,C++,1441573564,1499259649,0,0,0,"{u'Url': u'', u'Name': u'', u'InternalId': -1}",2852,CodeRepository,cryptocompare,1.0,1.0,MAPC,12223,2018-01-01 15:12:53.000620,https://github.com/mapcoindev/MAPCOIN
0,0,0,1441573500,False,1.0,C++,1441573564,1499259649,0,0,0,"{u'Url': u'', u'Name': u'', u'InternalId': -1}",2852,CodeRepository,cryptocompare,1.0,1.0,MAPC,12223,2018-01-01 15:09:30.622286,https://github.com/mapcoindev/MAPCOIN
0,0,0,1494247724,false,0.0,C++,1494247738,1494247742,0,0,0,"{u'Url': u'', u'Name': u'', u'InternalId': -1}",1891,CodeRepository,cryptocompare,0.0,0.0,MAT*,108094,2018-01-01 15:12:52.946465,https://github.com/Manetcoin/mat-source
0,0,0,1494247724,False,0.0,C++,1494247738,1494247742,0,0,0,"{u'Url': u'', u'Name': u'', u'InternalId': -1}",1891,CodeRepository,cryptocompare,0.0,0.0,MAT*,108094,2018-01-01 15:09:30.693361,https://github.com/Manetcoin/mat-source
0,0,0,1437072207,false,3.0,C++,1440938233,1437072938,1,0,1,"{u'Url': u'', u'Name': u'', u'InternalId': -1}",4212,CodeRepository,cryptocompare,0.0,1.0,MI,12225,2018-01-01 15:12:52.938896,https://github.com/xiaomicoin/Xiaomicoin
0,0,0,1437072207,False,3.0,C++,1440938233,1437072938,1,0,1,"{u'Url': u'', u'Name': u'', u'InternalId': -1}",4212,CodeRepository,cryptocompare,0.0,1.0,MI,12225,2018-01-01 15:09:30.963590,https://github.com/xiaomicoin/Xiaomicoin
0,0,0,1451503721,False,4.0,C++,1459795629,1453240518,0,0,0,"{u'Url': u'', u'Name': u'', u'InternalId': -1}",3717,CodeRepository,cryptocompare,1.0,6.0,MND,15888,2018-01-01 15:09:32.601436,https://github.com/MindCoinTeam/MindCoin
0,0,0,1451503721,false,4.0,C++,1459795629,1453240518,0,0,0,"{u'Url': u'', u'Name': u'', u'InternalId': -1}",3717,CodeRepository,cryptocompare,1.0,6.0,MND,15888,2018-01-01 15:12:55.527047,https://github.com/MindCoinTeam/MindCoin
0,0,0,1488531055,False,1.0,C++,1488531095,1488531098,0,0,0,"{u'Url': u'', u'Name': u'', u'InternalId': -1}",1303,CodeRepository,cryptocompare,0.0,0.0,NEF,112405,2018-01-01 15:09:30.143237,https://github.com/nefcoindev/NEF
0,0,0,1488531055,false,1.0,C++,1488531095,1488531098,0,0,0,"{u'Url': u'', u'Name': u'', u'InternalId': -1}",1303,CodeRepository,cryptocompare,0.0,0.0,NEF,112405,2018-01-01 15:12:52.641729,https://github.com/nefcoindev/NEF
24,0,24,1406647671,false,22.0,C++,1455896515,1509029875,12,0,12,"{u'Url': u'', u'Name': u'', u'InternalId': -1}",8909,CodeRepository,cryptocompare,21.0,18.0,NEU*,13044,2018-01-01 15:12:53.881072,https://github.com/NeuCoin/neucoin
24,0,24,1406647671,False,22.0,C++,1455896515,1509029875,12,0,12,"{u'Url': u'', u'Name': u'', u'InternalId': -1}",8909,CodeRepository,cryptocompare,21.0,18.0,NEU*,13044,2018-01-01 15:09:31.991448,https://github.com/NeuCoin/neucoin
0,0,0,1433551282,false,2.0,C++,1465428883,1511792357,0,0,0,"{u'Url': u'', u'Name': u'', u'InternalId': -1}",32554,CodeRepository,cryptocompare,6.0,5.0,PAK,17006,2018-01-01 15:12:56.207132,https://github.com/Pakcoin-project/pakcoin
