Points,account_creation,favourites,followers,following,link,lists,name,socialsource,source,statuses,symbol,symbol_id,timestamp_api_call
0,,,,,,,,Twitter,cryptocompare,,BITS,5368,2017-12-30 17:56:44.670398
2732,1498926099,0,2712,77,https://twitter.com/BitsDigit,4,Bits Digit,Twitter,cryptocompare,35,BITSD,198251,2017-12-30 17:55:48.119115
0,,,,,,,,Twitter,cryptocompare,,BITUSD,28021,2017-12-30 17:56:03.366819
2136,1423728502,12,1302,1832,https://twitter.com/bitz_currency,165,bitz,Twitter,cryptocompare,9414,BITZ,7626,2017-12-30 17:56:51.127665
5406,1499518505,158,5101,155,https://twitter.com/BankExProtocol,61,BANKEX,Twitter,cryptocompare,354,BKX,241757,2017-12-30 17:56:02.895659
15,1494788807,0,10,22,https://twitter.com/blakestar5,1,blakestar,Twitter,cryptocompare,5,BLAS,253707,2017-12-30 17:56:02.815725
0,,,,,,,,Twitter,cryptocompare,,BLAZR,60424,2017-12-30 17:56:47.122789
3590,1388143006,1925,3248,2419,https://twitter.com/BlakeCoin,68,BlueDragon747,Twitter,cryptocompare,2455,BLC,5362,2017-12-30 17:56:44.262004
6035,1415214071,270,4839,1941,https://twitter.com/bitalize,239,Blitzcash,Twitter,cryptocompare,1150,BLITZ,15879,2017-12-30 17:55:43.489723
31689,1393338856,1438,29702,333,https://twitter.com/CoinBlack,397,BlackCoin,Twitter,cryptocompare,2822,BLK,4339,2017-12-30 17:56:31.742410
14659,1414143286,951,12838,521,https://twitter.com/The_Blocknet,364,The Blocknet,Twitter,cryptocompare,1730,BLOCK,5305,2017-12-30 17:56:41.781217
2970,1464379954,508,2015,529,https://twitter.com/blockpay_ch,191,BlockPay,Twitter,cryptocompare,923,BLOCKPAY,28204,2017-12-30 17:56:03.257387
407,1387382479,44,347,58,https://twitter.com/BillaryCoin,12,BillaryCoin,Twitter,cryptocompare,108,BLRY,20336,2017-12-30 17:55:53.350544
480,1398370303,20,425,34,https://twitter.com/BlueCoin_info,11,BlueCoin,Twitter,cryptocompare,44,BLU,4340,2017-12-30 17:56:31.037113
