close,coin_units,computer_name,exchange,high,low,open,symbol,time,timestamp_api_call,volumefrom,volumeto
359.6,1,JordanManual,CCCAGG,359.68,359.6,359.68,VERI,1514794140,2018-01-01 14:51:31.544669,0.0,0.0
359.85,1,JordanManual,CCCAGG,359.85,359.73,359.75,VERI,1514794320,2018-01-01 14:51:31.544669,0.0,0.0
359.58,1,JordanManual,CCCAGG,359.68,359.58,359.68,VERI,1514794500,2018-01-01 14:51:31.544669,0.0,0.0
360.11,1,JordanManual,CCCAGG,360.11,359.91,359.94,VERI,1514794680,2018-01-01 14:51:31.544669,0.0,0.0
359.41,1,JordanManual,CCCAGG,359.92,359.41,359.92,VERI,1514794860,2018-01-01 14:51:31.544669,0.0,0.0
358.94,1,JordanManual,CCCAGG,359.31,358.94,359.28,VERI,1514795040,2018-01-01 14:51:31.544669,0.0,0.0
357.75,1,JordanManual,CCCAGG,358.5,357.75,358.5,VERI,1514795220,2018-01-01 14:51:31.544669,0.0,0.0
356.26,1,JordanManual,CCCAGG,357.42,356.26,357.42,VERI,1514795400,2018-01-01 14:51:31.544669,0.0,0.0
357.11,1,JordanManual,CCCAGG,357.11,346.77,355.24,VERI,1514795580,2018-01-01 14:51:31.544669,1.12,399.96
359.52,1,JordanManual,CCCAGG,359.69,348.7,356.74,VERI,1514795760,2018-01-01 14:51:31.544669,1.89,668.57
359.37,1,JordanManual,CCCAGG,359.8,359.37,359.8,VERI,1514795940,2018-01-01 14:51:31.544669,0.02,7.19
358.6,1,JordanManual,CCCAGG,358.91,358.6,358.91,VERI,1514796120,2018-01-01 14:51:31.544669,0.0,0.0
359.5,1,JordanManual,CCCAGG,359.5,358.76,358.78,VERI,1514796300,2018-01-01 14:51:31.544669,0.0,0.0
359.46,1,JordanManual,CCCAGG,359.58,359.4,359.4,VERI,1514796480,2018-01-01 14:51:31.544669,0.0,0.0
359.64,1,JordanManual,CCCAGG,359.64,359.58,359.6,VERI,1514796660,2018-01-01 14:51:31.544669,0.0,0.0
359.62,1,JordanManual,CCCAGG,359.62,359.43,359.49,VERI,1514796840,2018-01-01 14:51:31.544669,0.0,0.0
360.18,1,JordanManual,CCCAGG,360.18,359.87,359.87,VERI,1514797020,2018-01-01 14:51:31.544669,0.0,0.0
361.04,1,JordanManual,CCCAGG,361.04,360.14,360.14,VERI,1514797200,2018-01-01 14:51:31.544669,0.0,0.0
361.64,1,JordanManual,CCCAGG,361.64,361.16,361.16,VERI,1514797380,2018-01-01 14:51:31.544669,0.0,0.0
362.02,1,JordanManual,CCCAGG,362.02,361.85,361.94,VERI,1514797560,2018-01-01 14:51:31.544669,0.0,0.0
362.81,1,JordanManual,CCCAGG,362.81,362.13,362.13,VERI,1514797740,2018-01-01 14:51:31.544669,0.0,0.0
342.44,1,JordanManual,CCCAGG,363.01,342.44,363.01,VERI,1514797920,2018-01-01 14:51:31.544669,10.0,3424.4
342.98,1,JordanManual,CCCAGG,342.98,342.55,342.55,VERI,1514798100,2018-01-01 14:51:31.544669,0.0,0.0
347.27,1,JordanManual,CCCAGG,347.27,343.38,343.38,VERI,1514798280,2018-01-01 14:51:31.544669,2.15,746.22
347.85,1,JordanManual,CCCAGG,347.85,347.55,347.55,VERI,1514798460,2018-01-01 14:51:31.544669,0.6806,236.69
347.87,1,JordanManual,CCCAGG,347.87,347.8,347.83,VERI,1514798640,2018-01-01 14:51:31.544669,0.0,0.0
346.31,1,JordanManual,CCCAGG,347.29,346.31,347.29,VERI,1514798820,2018-01-01 14:51:31.544669,0.0,0.0
346.39,1,JordanManual,CCCAGG,346.39,346.16,346.29,VERI,1514799000,2018-01-01 14:51:31.544669,0.0,0.0
346.62,1,JordanManual,CCCAGG,346.62,346.0,346.0,VERI,1514799180,2018-01-01 14:51:31.544669,5.93,2055.46
349.61,1,JordanManual,CCCAGG,349.61,345.26,345.26,VERI,1514799360,2018-01-01 14:51:31.544669,20.54,7169.94
349.62,1,JordanManual,CCCAGG,349.62,349.42,349.59,VERI,1514799540,2018-01-01 14:51:31.544669,6.71,2345.76
349.45,1,JordanManual,CCCAGG,349.52,349.45,349.48,VERI,1514799720,2018-01-01 14:51:31.544669,0.738,257.95
349.43,1,JordanManual,CCCAGG,349.43,349.15,349.41,VERI,1514799900,2018-01-01 14:51:31.544669,0.0,0.0
349.74,1,JordanManual,CCCAGG,349.74,349.48,349.48,VERI,1514800080,2018-01-01 14:51:31.544669,0.0,0.0
362.75,1,JordanManual,CCCAGG,362.75,349.73,349.73,VERI,1514800260,2018-01-01 14:51:31.544669,1.0,362.59
362.72,1,JordanManual,CCCAGG,362.78,362.71,362.78,VERI,1514800440,2018-01-01 14:51:31.544669,0.0,0.0
362.7,1,JordanManual,CCCAGG,362.94,362.63,362.94,VERI,1514800620,2018-01-01 14:51:31.544669,0.0,0.0
362.79,1,JordanManual,CCCAGG,362.79,362.66,362.66,VERI,1514800800,2018-01-01 14:51:31.544669,0.0,0.0
