Id,Id,Id.1,Id.1.1,Id.1.1.1,Id.1.1.1.1,Id.1.1.1.1.1,Id.1.1.1.1.1.1,Id.1.1.1.1.1.1.1,Id.1.1.1.1.1.1.1.1,close,coin_units,computer_name,exchange,high,low,open,symbol,time,timestamp_api_call,volumefrom,volumeto
427,427.0,427.0,427.0,427.0,427.0,,,,,0.4459,1,JordanManual,CCCAGG,0.4459,0.4435,0.4435,NUBIS,1514434140.0,2017-12-28 09:27:39.771354,0.0,0.0
428,428.0,428.0,428.0,428.0,428.0,,,,,0.4457,1,JordanManual,CCCAGG,0.4461,0.4454,0.4454,NUBIS,1514434320.0,2017-12-28 09:27:39.771354,0.0,0.0
429,429.0,429.0,429.0,429.0,429.0,,,,,0.4477,1,JordanManual,CCCAGG,0.4477,0.4455,0.4455,NUBIS,1514434500.0,2017-12-28 09:27:39.771354,0.0,0.0
430,430.0,430.0,430.0,430.0,430.0,,,,,0.4486,1,JordanManual,CCCAGG,0.4505,0.4486,0.4502,NUBIS,1514434680.0,2017-12-28 09:27:39.771354,0.0,0.0
431,431.0,431.0,431.0,431.0,431.0,,,,,0.4523,1,JordanManual,CCCAGG,0.4523,0.4494,0.4494,NUBIS,1514434860.0,2017-12-28 09:27:39.771354,0.0,0.0
432,432.0,432.0,432.0,432.0,432.0,,,,,0.4518,1,JordanManual,CCCAGG,0.4525,0.4518,0.4525,NUBIS,1514435040.0,2017-12-28 09:27:39.771354,0.0,0.0
433,433.0,433.0,433.0,433.0,433.0,,,,,0.4524,1,JordanManual,CCCAGG,0.4524,0.4502,0.4502,NUBIS,1514435220.0,2017-12-28 09:27:39.771354,0.0,0.0
434,434.0,434.0,434.0,434.0,434.0,,,,,0.4548,1,JordanManual,CCCAGG,0.4558,0.4543,0.4543,NUBIS,1514435400.0,2017-12-28 09:27:39.771354,0.0,0.0
435,435.0,435.0,435.0,435.0,435.0,,,,,0.4534,1,JordanManual,CCCAGG,0.4545,0.4534,0.4545,NUBIS,1514435580.0,2017-12-28 09:27:39.771354,0.0,0.0
436,436.0,436.0,436.0,436.0,436.0,,,,,0.4511,1,JordanManual,CCCAGG,0.4514,0.4509,0.4509,NUBIS,1514435760.0,2017-12-28 09:27:39.771354,0.0,0.0
437,437.0,437.0,437.0,437.0,437.0,,,,,0.4514,1,JordanManual,CCCAGG,0.4514,0.451,0.4514,NUBIS,1514435940.0,2017-12-28 09:27:39.771354,0.0,0.0
438,438.0,438.0,438.0,438.0,438.0,,,,,0.4519,1,JordanManual,CCCAGG,0.452,0.4516,0.452,NUBIS,1514436120.0,2017-12-28 09:27:39.771354,0.0,0.0
439,439.0,439.0,439.0,439.0,439.0,,,,,0.4475,1,JordanManual,CCCAGG,0.4507,0.4463,0.4507,NUBIS,1514436300.0,2017-12-28 09:27:39.771354,0.0,0.0
440,440.0,440.0,440.0,440.0,440.0,,,,,0.4495,1,JordanManual,CCCAGG,0.4495,0.4481,0.4481,NUBIS,1514436480.0,2017-12-28 09:27:39.771354,0.0,0.0
441,441.0,441.0,441.0,441.0,441.0,,,,,0.4458,1,JordanManual,CCCAGG,0.4496,0.4458,0.4496,NUBIS,1514436660.0,2017-12-28 09:27:39.771354,0.0,0.0
442,442.0,442.0,442.0,442.0,442.0,,,,,0.4458,1,JordanManual,CCCAGG,0.4467,0.4458,0.4458,NUBIS,1514436840.0,2017-12-28 09:27:39.771354,0.0,0.0
443,443.0,443.0,443.0,443.0,443.0,,,,,0.4469,1,JordanManual,CCCAGG,0.4469,0.4457,0.4459,NUBIS,1514437020.0,2017-12-28 09:27:39.771354,0.0,0.0
444,444.0,444.0,444.0,444.0,444.0,,,,,0.4483,1,JordanManual,CCCAGG,0.4485,0.4478,0.4478,NUBIS,1514437200.0,2017-12-28 09:27:39.771354,0.0,0.0
445,445.0,445.0,445.0,445.0,445.0,,,,,0.4451,1,JordanManual,CCCAGG,0.4465,0.4451,0.4465,NUBIS,1514437380.0,2017-12-28 09:27:39.771354,0.0,0.0
446,446.0,446.0,446.0,446.0,446.0,,,,,0.4403,1,JordanManual,CCCAGG,0.4447,0.4403,0.4447,NUBIS,1514437560.0,2017-12-28 09:27:39.771354,0.0,0.0
447,447.0,447.0,447.0,447.0,447.0,,,,,0.4411,1,JordanManual,CCCAGG,0.4415,0.4409,0.4415,NUBIS,1514437740.0,2017-12-28 09:27:39.771354,0.0,0.0
448,448.0,448.0,448.0,448.0,448.0,,,,,0.4382,1,JordanManual,CCCAGG,0.4414,0.4382,0.4414,NUBIS,1514437920.0,2017-12-28 09:27:39.771354,0.0,0.0
449,449.0,449.0,449.0,449.0,449.0,,,,,0.4372,1,JordanManual,CCCAGG,0.4393,0.4372,0.4393,NUBIS,1514438100.0,2017-12-28 09:27:39.771354,0.0,0.0
450,450.0,450.0,450.0,450.0,450.0,,,,,0.431,1,JordanManual,CCCAGG,0.435,0.431,0.435,NUBIS,1514438280.0,2017-12-28 09:27:39.771354,0.0,0.0
451,451.0,451.0,451.0,451.0,451.0,,,,,0.434,1,JordanManual,CCCAGG,0.434,0.4309,0.4309,NUBIS,1514438460.0,2017-12-28 09:27:39.771354,0.0,0.0
452,452.0,452.0,452.0,452.0,452.0,,,,,0.4361,1,JordanManual,CCCAGG,0.4364,0.4348,0.4364,NUBIS,1514438640.0,2017-12-28 09:27:39.771354,0.0,0.0
453,453.0,453.0,453.0,453.0,453.0,,,,,0.4395,1,JordanManual,CCCAGG,0.4395,0.4374,0.4374,NUBIS,1514438820.0,2017-12-28 09:27:39.771354,0.0,0.0
454,454.0,454.0,454.0,454.0,454.0,,,,,0.4391,1,JordanManual,CCCAGG,0.4407,0.4391,0.4407,NUBIS,1514439000.0,2017-12-28 09:27:39.771354,0.0,0.0
455,455.0,455.0,455.0,455.0,455.0,,,,,0.4351,1,JordanManual,CCCAGG,0.4374,0.4351,0.4374,NUBIS,1514439180.0,2017-12-28 09:27:39.771354,0.0,0.0
456,456.0,456.0,456.0,456.0,456.0,,,,,0.4359,1,JordanManual,CCCAGG,0.4359,0.4359,0.4359,NUBIS,1514439360.0,2017-12-28 09:27:39.771354,0.0,0.0
457,457.0,457.0,457.0,457.0,457.0,,,,,0.4335,1,JordanManual,CCCAGG,0.436,0.4335,0.436,NUBIS,1514439540.0,2017-12-28 09:27:39.771354,0.0,0.0
458,458.0,458.0,458.0,458.0,458.0,,,,,0.4288,1,JordanManual,CCCAGG,0.4316,0.4288,0.4316,NUBIS,1514439720.0,2017-12-28 09:27:39.771354,0.0,0.0
459,459.0,459.0,459.0,459.0,459.0,,,,,0.4299,1,JordanManual,CCCAGG,0.4299,0.426,0.426,NUBIS,1514439900.0,2017-12-28 09:27:39.771354,0.0,0.0
460,460.0,460.0,460.0,460.0,460.0,,,,,0.4313,1,JordanManual,CCCAGG,0.4313,0.4296,0.4305,NUBIS,1514440080.0,2017-12-28 09:27:39.771354,0.0,0.0
461,461.0,461.0,461.0,461.0,461.0,,,,,0.4325,1,JordanManual,CCCAGG,0.4338,0.4311,0.4338,NUBIS,1514440260.0,2017-12-28 09:27:39.771354,0.0,0.0
