Id,Id,Id.1,Id.1.1,Id.1.1.1,Id.1.1.1.1,close,coin_units,computer_name,exchange,high,low,open,symbol,time,timestamp_api_call,volumefrom,volumeto
126,126.0,,,,,0.12,1,JordanManual,CCCAGG,0.12,0.12,0.12,PQT,1514379960.0,2017-12-28 09:49:31.453027,0.0,0.0
127,127.0,,,,,0.12,1,JordanManual,CCCAGG,0.12,0.12,0.12,PQT,1514380140.0,2017-12-28 09:49:31.453027,0.0,0.0
128,128.0,,,,,0.12,1,JordanManual,CCCAGG,0.12,0.12,0.12,PQT,1514380320.0,2017-12-28 09:49:31.453027,0.0,0.0
129,129.0,,,,,0.12,1,JordanManual,CCCAGG,0.12,0.12,0.12,PQT,1514380500.0,2017-12-28 09:49:31.453027,0.0,0.0
130,130.0,,,,,0.12,1,JordanManual,CCCAGG,0.12,0.12,0.12,PQT,1514380680.0,2017-12-28 09:49:31.453027,0.0,0.0
131,131.0,,,,,0.12,1,JordanManual,CCCAGG,0.12,0.12,0.12,PQT,1514380860.0,2017-12-28 09:49:31.453027,0.0,0.0
132,132.0,,,,,0.12,1,JordanManual,CCCAGG,0.12,0.12,0.12,PQT,1514381040.0,2017-12-28 09:49:31.453027,0.0,0.0
133,133.0,,,,,0.12,1,JordanManual,CCCAGG,0.12,0.12,0.12,PQT,1514381220.0,2017-12-28 09:49:31.453027,0.0,0.0
134,134.0,,,,,0.12,1,JordanManual,CCCAGG,0.12,0.12,0.12,PQT,1514381400.0,2017-12-28 09:49:31.453027,0.0,0.0
135,135.0,,,,,0.235,1,JordanManual,CCCAGG,0.235,0.12,0.12,PQT,1514381580.0,2017-12-28 09:49:31.453027,0.14,0.0329
136,136.0,,,,,0.235,1,JordanManual,CCCAGG,0.235,0.235,0.235,PQT,1514381760.0,2017-12-28 09:49:31.453027,0.0,0.0
137,137.0,,,,,0.235,1,JordanManual,CCCAGG,0.235,0.235,0.235,PQT,1514381940.0,2017-12-28 09:49:31.453027,0.0,0.0
138,138.0,,,,,0.235,1,JordanManual,CCCAGG,0.235,0.235,0.235,PQT,1514382120.0,2017-12-28 09:49:31.453027,0.0,0.0
139,139.0,,,,,0.235,1,JordanManual,CCCAGG,0.235,0.235,0.235,PQT,1514382300.0,2017-12-28 09:49:31.453027,0.0,0.0
140,140.0,,,,,0.235,1,JordanManual,CCCAGG,0.235,0.235,0.235,PQT,1514382480.0,2017-12-28 09:49:31.453027,0.0,0.0
141,141.0,,,,,0.235,1,JordanManual,CCCAGG,0.235,0.235,0.235,PQT,1514382660.0,2017-12-28 09:49:31.453027,0.0,0.0
142,142.0,,,,,0.235,1,JordanManual,CCCAGG,0.235,0.235,0.235,PQT,1514382840.0,2017-12-28 09:49:31.453027,0.0,0.0
143,143.0,,,,,0.235,1,JordanManual,CCCAGG,0.235,0.235,0.235,PQT,1514383020.0,2017-12-28 09:49:31.453027,0.0,0.0
144,144.0,,,,,0.235,1,JordanManual,CCCAGG,0.235,0.235,0.235,PQT,1514383200.0,2017-12-28 09:49:31.453027,0.0,0.0
145,145.0,,,,,0.235,1,JordanManual,CCCAGG,0.235,0.235,0.235,PQT,1514383380.0,2017-12-28 09:49:31.453027,0.0,0.0
146,146.0,,,,,0.235,1,JordanManual,CCCAGG,0.235,0.235,0.235,PQT,1514383560.0,2017-12-28 09:49:31.453027,0.0,0.0
147,147.0,,,,,0.235,1,JordanManual,CCCAGG,0.235,0.235,0.235,PQT,1514383740.0,2017-12-28 09:49:31.453027,0.0,0.0
148,148.0,,,,,0.235,1,JordanManual,CCCAGG,0.235,0.235,0.235,PQT,1514383920.0,2017-12-28 09:49:31.453027,0.0,0.0
149,149.0,,,,,0.235,1,JordanManual,CCCAGG,0.235,0.235,0.235,PQT,1514384100.0,2017-12-28 09:49:31.453027,0.0,0.0
