Id,Id,Id.1,Id.1.1,close,coin_units,computer_name,exchange,high,low,open,symbol,time,timestamp_api_call,volumefrom,volumeto
201,201.0,201.0,201.0,0.2238,1,JordanManual,CCCAGG,0.2238,0.2238,0.2238,XLM,1514366100,2017-12-28 01:33:07.151351,374096.87,83562.24
202,202.0,202.0,202.0,0.2238,1,JordanManual,CCCAGG,0.2238,0.2238,0.2238,XLM,1514366280,2017-12-28 01:33:07.151351,50691.95,11306.15
203,203.0,203.0,203.0,0.2238,1,JordanManual,CCCAGG,0.2238,0.2238,0.2238,XLM,1514366460,2017-12-28 01:33:07.151351,1311.57,292.49
204,204.0,204.0,204.0,0.221,1,JordanManual,CCCAGG,0.2238,0.22,0.2238,XLM,1514366640,2017-12-28 01:33:07.151351,115066.79,25621.53
205,205.0,205.0,205.0,0.22,1,JordanManual,CCCAGG,0.221,0.22,0.221,XLM,1514366820,2017-12-28 01:33:07.151351,194802.04,42949.24
206,206.0,206.0,206.0,0.223,1,JordanManual,CCCAGG,0.223,0.223,0.223,XLM,1514367000,2017-12-28 01:33:07.151351,47329.05,10412.52
207,207.0,207.0,207.0,0.2199,1,JordanManual,CCCAGG,0.22,0.2199,0.22,XLM,1514367180,2017-12-28 01:33:07.151351,14602.67,3211.36
208,208.0,208.0,208.0,0.2198,1,JordanManual,CCCAGG,0.2199,0.2188,0.2199,XLM,1514367360,2017-12-28 01:33:07.151351,63234.5,13851.57
209,209.0,209.0,209.0,0.2198,1,JordanManual,CCCAGG,0.2198,0.2198,0.2198,XLM,1514367540,2017-12-28 01:33:07.151351,19563.06,4268.2
210,210.0,210.0,210.0,0.2198,1,JordanManual,CCCAGG,0.2198,0.2198,0.2198,XLM,1514367720,2017-12-28 01:33:07.151351,9592.95,2107.18
211,211.0,211.0,211.0,0.2198,1,JordanManual,CCCAGG,0.2198,0.2198,0.2198,XLM,1514367900,2017-12-28 01:33:07.151351,434.04,95.46
212,212.0,212.0,212.0,0.2198,1,JordanManual,CCCAGG,0.2198,0.2198,0.2198,XLM,1514368080,2017-12-28 01:33:07.151351,6578.71,1445.56
213,213.0,213.0,213.0,0.2198,1,JordanManual,CCCAGG,0.2198,0.2198,0.2198,XLM,1514368260,2017-12-28 01:33:07.151351,10035.64,2196.52
214,214.0,214.0,214.0,0.2198,1,JordanManual,CCCAGG,0.2198,0.2198,0.2198,XLM,1514368440,2017-12-28 01:33:07.151351,31937.26,6984.96
215,215.0,215.0,215.0,0.22,1,JordanManual,CCCAGG,0.2219,0.2198,0.2198,XLM,1514368620,2017-12-28 01:33:07.151351,21133.18,4656.61
216,216.0,216.0,216.0,0.22,1,JordanManual,CCCAGG,0.22,0.22,0.22,XLM,1514368800,2017-12-28 01:33:07.151351,399.4,87.87
217,217.0,217.0,217.0,0.22,1,JordanManual,CCCAGG,0.2214,0.22,0.22,XLM,1514368980,2017-12-28 01:33:07.151351,23459.46,5162.96
218,218.0,218.0,218.0,0.221,1,JordanManual,CCCAGG,0.221,0.22,0.22,XLM,1514369160,2017-12-28 01:33:07.151351,3515.42,774.66
219,219.0,219.0,219.0,0.221,1,JordanManual,CCCAGG,0.221,0.221,0.221,XLM,1514369340,2017-12-28 01:33:07.151351,2960.23,651.61
220,220.0,220.0,220.0,0.2199,1,JordanManual,CCCAGG,0.2208,0.2199,0.2208,XLM,1514369520,2017-12-28 01:33:07.151351,38726.71,8518.87
221,221.0,221.0,221.0,0.2199,1,JordanManual,CCCAGG,0.2199,0.2199,0.2199,XLM,1514369700,2017-12-28 01:33:07.151351,8157.63,1791.45
222,222.0,222.0,222.0,0.218,1,JordanManual,CCCAGG,0.2199,0.218,0.2199,XLM,1514369880,2017-12-28 01:33:07.151351,172842.43,37688.41
223,223.0,223.0,223.0,0.218,1,JordanManual,CCCAGG,0.218,0.218,0.218,XLM,1514370060,2017-12-28 01:33:07.151351,171997.75,37483.97
224,224.0,224.0,224.0,0.218,1,JordanManual,CCCAGG,0.218,0.218,0.218,XLM,1514370240,2017-12-28 01:33:07.151351,3477.8,758.16
225,225.0,225.0,225.0,0.218,1,JordanManual,CCCAGG,0.218,0.218,0.218,XLM,1514370420,2017-12-28 01:33:07.151351,127580.03,27795.23
226,226.0,226.0,226.0,0.2166,1,JordanManual,CCCAGG,0.218,0.2166,0.2166,XLM,1514370600,2017-12-28 01:33:07.151351,17725.61,3838.78
227,227.0,227.0,227.0,0.2159,1,JordanManual,CCCAGG,0.2172,0.2159,0.217,XLM,1514370780,2017-12-28 01:33:07.151351,53807.66,11624.4
228,228.0,228.0,228.0,0.2159,1,JordanManual,CCCAGG,0.2159,0.2159,0.2159,XLM,1514370960,2017-12-28 01:33:07.151351,13455.39,2912.82
229,229.0,229.0,229.0,0.2197,1,JordanManual,CCCAGG,0.2197,0.2159,0.2159,XLM,1514371140,2017-12-28 01:33:07.151351,10726.01,2346.75
230,230.0,230.0,230.0,0.2197,1,JordanManual,CCCAGG,0.2197,0.2197,0.2197,XLM,1514371320,2017-12-28 01:33:07.151351,50426.27,11078.19
231,231.0,231.0,231.0,0.2178,1,JordanManual,CCCAGG,0.2197,0.2178,0.2197,XLM,1514371500,2017-12-28 01:33:07.151351,12296.46,2679.9
232,232.0,232.0,232.0,0.2178,1,JordanManual,CCCAGG,0.2178,0.2178,0.2178,XLM,1514371680,2017-12-28 01:33:07.151351,14210.18,3068.39
233,233.0,233.0,233.0,0.2158,1,JordanManual,CCCAGG,0.2158,0.215,0.2158,XLM,1514371860,2017-12-28 01:33:07.151351,26803.95,5770.8
234,234.0,234.0,234.0,0.2158,1,JordanManual,CCCAGG,0.2158,0.2158,0.2158,XLM,1514372040,2017-12-28 01:33:07.151351,1720.72,370.76
235,235.0,235.0,235.0,0.2158,1,JordanManual,CCCAGG,0.2158,0.2158,0.2158,XLM,1514372220,2017-12-28 01:33:07.151351,30825.6,6641.81
236,236.0,236.0,236.0,0.2158,1,JordanManual,CCCAGG,0.2158,0.2158,0.2158,XLM,1514372400,2017-12-28 01:33:07.151351,46353.56,10006.5
237,237.0,237.0,237.0,0.2158,1,JordanManual,CCCAGG,0.2158,0.2158,0.2158,XLM,1514372580,2017-12-28 01:33:07.151351,5938.92,1295.35
238,238.0,238.0,238.0,0.219,1,JordanManual,CCCAGG,0.219,0.2171,0.218,XLM,1514372760,2017-12-28 01:33:07.151351,8118.31,1766.23
239,239.0,239.0,239.0,0.219,1,JordanManual,CCCAGG,0.219,0.219,0.219,XLM,1514372940,2017-12-28 01:33:07.151351,17954.33,3903.54
240,240.0,240.0,240.0,0.219,1,JordanManual,CCCAGG,0.219,0.219,0.219,XLM,1514373120,2017-12-28 01:33:07.151351,1004.57000001,220.0
