Id,Id,Id.1,Id.1.1,Id.1.1.1,Id.1.1.1.1,Id.1.1.1.1.1,Id.1.1.1.1.1.1,Id.1.1.1.1.1.1.1,Id.1.1.1.1.1.1.1.1,Id.1.1.1.1.1.1.1.1.1,Id.1.1.1.1.1.1.1.1.1.1,has_pricing,symbol
332,,,,,,,,,,,,1,CF
333,333.0,333.0,,,,,,,,,,1,CFC
334,334.0,334.0,,,,,,,,,,1,CFD
335,,,,,,,,,,,,1,CFI
336,336.0,336.0,336.0,,,,,,,,,0,CFT
337,337.0,337.0,,,,,,,,,,0,CFT*
338,338.0,,,,,,,,,,,1,CGA
339,,,,,,,,,,,,1,CHA
340,340.0,340.0,340.0,,,,,,,,,1,CHAO
341,,,,,,,,,,,,1,CHASH
342,,,,,,,,,,,,0,CHAT
343,,,,,,,,,,,,1,CHC
344,344.0,,,,,,,,,,,1,CHESS
345,,,,,,,,,,,,1,CHIEF
346,,,,,,,,,,,,1,CHILD
347,347.0,347.0,347.0,,,,,,,,,0,CHIP
348,,,,,,,,,,,,0,CHIPS*
349,,,,,,,,,,,,0,CHOOF
350,350.0,350.0,350.0,350.0,,,,,,,,0,CIN
351,351.0,351.0,,,,,,,,,,0,CINNI
352,352.0,352.0,352.0,,,,,,,,,0,CIR
353,,,,,,,,,,,,1,CIRC
354,,,,,,,,,,,,0,CIX
355,,,,,,,,,,,,0,CJ
356,,,,,,,,,,,,0,CJC
357,,,,,,,,,,,,0,CJT
358,358.0,,,,,,,,,,,1,CKC
359,,,,,,,,,,,,0,CLAM
360,360.0,,,,,,,,,,,1,CLD
361,361.0,,,,,,,,,,,1,CLICK
362,,,,,,,,,,,,0,CLINT
363,363.0,363.0,,,,,,,,,,1,CLOAK
364,,,,,,,,,,,,0,CLOUT
365,,,,,,,,,,,,1,CLR
366,,,,,,,,,,,,1,CLUB
367,,,,,,,,,,,,1,CLUD
368,368.0,368.0,368.0,368.0,368.0,,,,,,,1,CLV
369,,,,,,,,,,,,0,CMC
370,,,,,,,,,,,,1,CMP
371,371.0,371.0,371.0,371.0,371.0,,,,,,,1,CMPCO
372,372.0,372.0,372.0,,,,,,,,,1,CMS
373,373.0,373.0,,,,,,,,,,1,CMT
374,374.0,374.0,,,,,,,,,,0,CMT*
375,375.0,,,,,,,,,,,1,CNBC
376,,,,,,,,,,,,1,CNC
377,377.0,377.0,377.0,,,,,,,,,0,CND
378,378.0,378.0,378.0,378.0,378.0,,,,,,,0,CND*
379,379.0,379.0,379.0,,,,,,,,,0,CNL
380,,,,,,,,,,,,0,CNMT
381,381.0,381.0,,,,,,,,,,1,CNO
382,382.0,,,,,,,,,,,1,CNT
383,383.0,383.0,,,,,,,,,,1,CNX
384,384.0,384.0,,,,,,,,,,1,COAL
385,385.0,,,,,,,,,,,1,COB
386,386.0,,,,,,,,,,,1,COC
387,387.0,387.0,387.0,387.0,,,,,,,,1,COE
388,388.0,388.0,,,,,,,,,,0,COFI
389,389.0,389.0,389.0,389.0,,,,,,,,0,COIN
390,390.0,390.0,,,,,,,,,,0,COIN*
391,391.0,391.0,391.0,,,,,,,,,0,COLX
392,392.0,392.0,392.0,,,,,,,,,0,COMM
393,,,,,,,,,,,,1,CON
394,394.0,394.0,394.0,394.0,394.0,394.0,394.0,394.0,394.0,394.0,,0,COOL
395,,,,,,,,,,,,1,COR
396,,,,,,,,,,,,0,CORAL
397,397.0,397.0,397.0,,,,,,,,,1,CORE
398,398.0,398.0,,,,,,,,,,1,COSS
399,399.0,399.0,399.0,,,,,,,,,0,COV
400,,,,,,,,,,,,0,COV*
401,401.0,401.0,,,,,,,,,,0,COVAL
402,402.0,,,,,,,,,,,1,COX
403,403.0,403.0,,,,,,,,,,0,CPAY
404,404.0,404.0,404.0,404.0,404.0,,,,,,,1,CPC
405,405.0,405.0,,,,,,,,,,1,CQST
406,,,,,,,,,,,,1,CRAB
407,407.0,407.0,,,,,,,,,,1,CRACK
408,408.0,408.0,,,,,,,,,,1,CRAFT
409,,,,,,,,,,,,1,CRAIG
410,,,,,,,,,,,,1,CRAVE
411,,,,,,,,,,,,0,CRB
412,412.0,412.0,,,,,,,,,,1,CRC
413,,,,,,,,,,,,0,CRDS
414,414.0,414.0,414.0,414.0,414.0,414.0,414.0,414.0,414.0,,,1,CRE
415,415.0,415.0,,,,,,,,,,0,CREA
416,,,,,,,,,,,,0,CRED
417,417.0,417.0,417.0,,,,,,,,,1,CREDO
418,,,,,,,,,,,,1,CREVA
419,,,,,,,,,,,,1,CRM
420,420.0,,,,,,,,,,,1,CRNK
421,,,,,,,,,,,,1,CRPS
422,,,,,,,,,,,,1,CRTM
423,423.0,423.0,,,,,,,,,,0,CRW
424,424.0,424.0,424.0,,,,,,,,,1,CRX
425,425.0,425.0,,,,,,,,,,1,CRYPT
426,426.0,426.0,426.0,,,,,,,,,0,CS
427,427.0,427.0,427.0,427.0,,,,,,,,0,CSC
428,,,,,,,,,,,,0,CSH
429,,,,,,,,,,,,1,CSMIC
430,430.0,430.0,,,,,,,,,,1,CSNO
431,,,,,,,,,,,,0,CSTL
432,432.0,432.0,,,,,,,,,,1,CTC
433,433.0,433.0,433.0,,,,,,,,,0,CTIC
434,,,,,,,,,,,,1,CTO
435,435.0,435.0,,,,,,,,,,0,CTR
436,436.0,,,,,,,,,,,1,CTT
437,,,,,,,,,,,,0,CTX
438,438.0,,,,,,,,,,,1,CUBE
439,,,,,,,,,,,,1,CURE
440,440.0,,,,,,,,,,,1,CVC
441,,,,,,,,,,,,0,CVCOIN
442,442.0,442.0,442.0,,,,,,,,,1,CWV
443,,,,,,,,,,,,0,CWXT
444,444.0,444.0,,,,,,,,,,1,CXC
445,,,,,,,,,,,,1,CXT
446,,,,,,,,,,,,0,CYC
447,447.0,447.0,447.0,447.0,447.0,447.0,447.0,447.0,447.0,,,1,CYG
448,,,,,,,,,,,,1,CYP
449,,,,,,,,,,,,1,CYT
450,450.0,,,,,,,,,,,1,CZC
451,,,,,,,,,,,,1,DANK
452,452.0,,,,,,,,,,,1,DAR
453,453.0,453.0,,,,,,,,,,0,DARK
454,,,,,,,,,,,,1,DAS
455,455.0,455.0,,,,,,,,,,0,DASH
456,456.0,456.0,,,,,,,,,,0,DAT
457,,,,,,,,,,,,1,DATA
458,458.0,458.0,458.0,,,,,,,,,1,DAXX
459,459.0,459.0,,,,,,,,,,0,DAY
460,460.0,460.0,460.0,,,,,,,,,1,DB
461,,,,,,,,,,,,1,DBET
462,,,,,,,,,,,,1,DBG
463,463.0,463.0,463.0,463.0,,,,,,,,1,DBIC
464,,,,,,,,,,,,1,DBIX
465,465.0,465.0,,,,,,,,,,0,DBR
466,,,,,,,,,,,,1,DBTC
467,,,,,,,,,,,,1,DCC
468,468.0,,,,,,,,,,,1,DCK
469,469.0,469.0,469.0,469.0,,,,,,,,1,DCN
470,470.0,,,,,,,,,,,1,DCR
471,,,,,,,,,,,,1,DCRE
472,,,,,,,,,,,,0,DCS.
473,,,,,,,,,,,,0,DCT
474,474.0,474.0,474.0,474.0,,,,,,,,0,DCY
475,475.0,475.0,,,,,,,,,,1,DDF
476,,,,,,,,,,,,1,DEA
477,477.0,477.0,,,,,,,,,,0,DEB
478,478.0,,,,,,,,,,,1,DEEP
479,479.0,479.0,,,,,,,,,,0,DEM
480,480.0,480.0,480.0,,,,,,,,,0,DENT
481,481.0,,,,,,,,,,,1,DES
482,482.0,482.0,,,,,,,,,,0,DETH
483,483.0,483.0,483.0,483.0,483.0,483.0,483.0,483.0,483.0,483.0,483.0,0,DEUR
484,484.0,484.0,484.0,,,,,,,,,0,DFBT
485,,,,,,,,,,,,1,DFT
486,486.0,486.0,486.0,,,,,,,,,1,DGB
487,,,,,,,,,,,,0,DGC
488,,,,,,,,,,,,1,DGD
489,489.0,489.0,489.0,489.0,489.0,489.0,489.0,489.0,489.0,489.0,489.0,0,DGDC
490,490.0,490.0,,,,,,,,,,0,DGMS
491,,,,,,,,,,,,1,DGORE
492,492.0,,,,,,,,,,,1,DGPT
493,493.0,493.0,,,,,,,,,,0,DICE
494,494.0,494.0,,,,,,,,,,1,DIEM
495,,,,,,,,,,,,1,DIGS
496,496.0,496.0,496.0,,,,,,,,,0,DIM
497,,,,,,,,,,,,0,DIME
498,,,,,,,,,,,,0,DISK
499,499.0,499.0,499.0,499.0,499.0,,,,,,,1,DIVX
500,,,,,,,,,,,,1,DKC
501,,,,,,,,,,,,1,DLC
502,502.0,502.0,502.0,502.0,502.0,,,,,,,1,DLISK
503,503.0,503.0,,,,,,,,,,0,DLR
504,,,,,,,,,,,,1,DLT
505,,,,,,,,,,,,1,DMD
506,,,,,,,,,,,,0,DMT
507,,,,,,,,,,,,1,DNA
508,,,,,,,,,,,,1,DNET
509,,,,,,,,,,,,0,DNR
510,,,,,,,,,,,,1,DNT
511,511.0,511.0,,,,,,,,,,1,DOGE
512,512.0,,,,,,,,,,,1,DOGED
513,513.0,,,,,,,,,,,1,DOGETH
514,514.0,514.0,,,,,,,,,,0,DON
515,,,,,,,,,,,,1,DOPE
516,,,,,,,,,,,,1,DOT
517,,,,,,,,,,,,1,DOVU
518,518.0,518.0,518.0,,,,,,,,,0,DP
519,,,,,,,,,,,,1,DPAY
520,520.0,,,,,,,,,,,1,DPP
521,,,,,,,,,,,,1,DRA
522,,,,,,,,,,,,1,DRACO
523,,,,,,,,,,,,0,DRC
524,,,,,,,,,,,,0,DRC*
525,525.0,525.0,525.0,,,,,,,,,0,DRGN
