Algorithm,CHANGE24HOUR,CHANGEDAY,CHANGEPCT24HOUR,CHANGEPCTDAY,CoinName,FLAGS,FROMSYMBOL,FullName,FullyPremined,HIGH24HOUR,HIGHDAY,Id,ImageUrl,LASTMARKET,LASTTRADEID,LASTUPDATE,LASTVOLUME,LASTVOLUMETO,LOW24HOUR,LOWDAY,MARKET,MKTCAP,Name,OPEN24HOUR,OPENDAY,PRICE,PreMinedValue,ProofType,SUPPLY,SortOrder,Sponsored,Symbol,TOSYMBOL,TOTALVOLUME24H,TOTALVOLUME24HTO,TYPE,TotalCoinSupply,TotalCoinsFreeFloat,Url,VOLUME24HOUR,VOLUME24HOURTO,VOLUMEDAY,VOLUMEDAYTO,coin,coin_units,computer_name,source,timestamp_api_call
,,,,,SONM,,,SONM (SNM),0.0,,,136244.0,/media/1383564/snm.png,,,,,,,,,,SNM,,,,,,,1261.0,0.0,SNM,,,,,444000000,,/coins/snm/overview,,,,,,,,cryptocompare,2017-12-29 00:02:25.141341
,,,,,Skycoin,,,Skycoin (SKY),0.0,,,136269.0,/media/1383565/sky.png,,,,,,,,,,SKY,,,,,,,1262.0,0.0,SKY,,,,,100000000,,/coins/sky/overview,,,,,,,,cryptocompare,2017-12-29 00:02:25.141341
,,,,,Cofound.it,,,Cofound.it (CFI),0.0,,,136984.0,/media/1383567/cfi.png,,,,,,,,,,CFI,,,,,,,1263.0,0.0,CFI,,,,,500000000,,/coins/cfi/overview,,,,,,,,cryptocompare,2017-12-29 00:02:25.141341
,,,,,Status Network Token,,,Status Network Token (SNT),0.0,,,137013.0,/media/1383568/snt.png,,,,,,,,,,SNT,,,,,,,1264.0,0.0,SNT,,,,,6804870175,,/coins/snt/overview,,,,,,,,cryptocompare,2017-12-29 00:02:25.141341
,,,,,AventCoin,,,AventCoin (AVT),0.0,,,138642.0,/media/1383599/avt.png,,,,,,,,,,AVT,,,,,,,1265.0,0.0,AVT,,,,,10000000,,/coins/avt/overview,,,,,,,,cryptocompare,2017-12-29 00:02:25.141341
,,,,,Civic,,,Civic (CVC),0.0,,,139467.0,/media/1383611/cvc.png,,,,,,,,,,CVC,,,,,,,1266.0,0.0,CVC,,,,,1000000000,,/coins/cvc/overview,,,,,,,,cryptocompare,2017-12-29 00:02:25.141341
,,,,,iXledger,,,iXledger (IXT),0.0,,,141171.0,/media/1383612/ixt.png,,,,,,,,,,IXT,,,,,,,1267.0,0.0,IXT,,,,,65778843.8311,,/coins/ixt/overview,,,,,,,,cryptocompare,2017-12-29 00:02:25.141341
,,,,,Dent,,,Dent (DENT),0.0,,,141331.0,/media/1383613/dent.png,,,,,,,,,,DENT,,,,,,,1268.0,0.0,DENT,,,,,100000000000,,/coins/dent/overview,,,,,,,,cryptocompare,2017-12-29 00:02:25.141341
,,,,,Ethos,,,Ethos (ETHOS),0.0,,,141464.0,/media/16404851/ethos.png,,,,,,,,,,ETHOS,,,,,,,1269.0,0.0,BQX,,,,,222295208.2384,,/coins/ethos/overview,,,,,,,,cryptocompare,2017-12-29 00:02:25.141341
,,,,,Starta,,,Starta (STA),0.0,,,150519.0,/media/1383620/crs.png,,,,,,,,,,STA,,,,,,,1270.0,0.0,STA,,,,,,,/coins/sta/overview,,,,,,,,cryptocompare,2017-12-29 00:02:25.141341
